cod_individuo;num_apolices_ativas;tipo_cobertura;valor_premio_anual;tempo_cliente_dias;data_primeira_apolice;num_produtos_contratados;valor_cobertura_total;franquia_media;canal_aquisicao;pagamento_em_dia;desconto_aplicado_pct;metodo_pagamento
IND-221300904264;2;Premium;2316.72;2339.0;01-05-2020;5;201.525,43;R$ 2.446,83;Agente;Em dia;0.066;boleto
IND-221301824554;1;PREMIUM;752,28;2304.0;2020/2/9;4;164011.56;471,75;Agente;Em dia;0.062;Cartão
IND-221300318278;3;Básica;N/A;1648.0;11-26-2021;1;#N/D;NULL; Digital;1;0.103;Debito_Auto
IND-221302854940;#N/D;premium;R$ 1.033,15;187.0;2025/11/26;5;R$ 196.256,43;R$951,09;Indicacao;OK;0.05;Cartão
IND-221300164895;1;premium;873,83;1085.0;12 Jun 2023;4;R$150.726,78;840.06;Agente;Sim;0.034;boleto
IND-221302543275;1;basica;R$ 1.084,81;5315.0;2011-11-12;4;208.885,94;1.109,27;Agente;1;0.018;debito
IND-221303300503;1;premium;R$ 1.075;4161.0;2015-01-09;4;R$134.996,66;R$ 444,63;Digital;N;0.073;CC
IND-221300446712;4;Padrão;1390.03;1020.0;16/08/2023;1;122.202,97;1.387,01;Telefone;1;0.159;BOL
IND-221302874265;4;Basica;R$1.757,28;2135.0;07-27-2020;1;151.638,95;1611.96;Agente;S;0.152;Debito Automatico
IND-221300578601;2;Premium;R$ 1.353;3746.0;2016/2/28;2; ;642,68;Agente;Sim;0.092;Pix
IND-221300531216;2;Prem.;R$ 1.152,23;1831.0;2021-05-27;2;166317.09;1.350,24;Telefone;Em dia;0.078;DEB AUTO
IND-221301225092;4;basica;1.354,06;384.0;13/05/2025;1;R$135.840,86;R$ 553,05;Agente;N/A;0.181;Debito_Auto
IND-221303158499;3;Básica;842.45;1801.0;2021/6/26;1;R$ 147.945,16;R$380,65;Digital;1;0.114;Cartão
IND-221300001545;4;Basica;1445.65;1333.0;10-07-2022;1;120900.06;1361.37;Agente;Em dia;0.165;Cartão
