iter	Passed	Remaining
0	179	358142
1	208	208354
2	341	227054
3	383	191349
4	414	165359
5	442	146965
6	553	157619
7	601	149863
8	632	139884
9	660	131503
10	795	143914
11	835	138404
12	871	133246
13	902	128028
14	948	125483
15	1077	133616
16	1116	130198
17	1145	126122
18	1178	122838
19	1306	129384
20	1343	126584
21	1372	123422
22	1402	120517
23	1619	133304
24	1650	130378
25	1807	137207
26	1847	135013
27	1880	132421
28	2075	141050
29	2108	138455
30	2235	142012
31	2273	139841
32	2304	137383
33	2453	141870
34	2490	139814
35	2525	137796
36	2555	135572
37	2670	137877
38	2737	137647
39	2770	135769
40	2801	133865
41	2834	132148
42	2941	133893
43	2988	132843
44	3024	131399
45	3055	129800
46	3089	128369
47	3221	131008
48	3267	130113
49	3297	128619
50	3334	127417
51	3445	129058
52	3486	128078
53	3520	126875
54	3646	128944
55	3701	128509
56	3744	127634
57	3777	126469
58	3808	125294
59	3866	125011
60	3983	126610
61	4024	125791
62	4058	124772
63	4091	123756
64	4123	122757
65	4249	124536
66	4292	123854
67	4326	122913
68	4359	122001
69	4388	121003
70	4508	122484
71	4557	122051
72	4590	121178
73	4620	120249
74	4711	120935
75	4762	120570
76	4803	119952
77	4834	119122
78	4862	118243
79	5031	120763
80	5073	120208
81	5108	119494
82	5274	121821
83	5354	122133
84	5395	121557
85	5429	120845
86	5571	122518
87	5622	122169
88	5663	121604
89	5706	121104
90	5736	120343
91	5846	121257
92	5915	121300
93	5951	120680
94	5983	119990
95	6017	119346
96	6166	120984
97	6196	120261
98	6234	119719
99	6441	122382
100	6485	121946
101	6627	123330
102	6778	124834
103	6808	124133
104	6959	125604
105	6996	125021
106	7032	124412
107	7175	125701
108	7208	125059
109	7239	124390
110	7458	126920
111	7491	126292
112	7524	125654
113	7652	126594
114	7721	126571
115	7756	125974
116	7787	125334
117	7819	124714
118	7931	125365
119	7995	125268
120	8033	124747
121	8065	124153
122	8092	123500
123	8202	124093
124	8246	123697
125	8278	123121
126	8309	122551
127	8435	123371
128	8471	122868
129	8504	122332
130	8537	121801
131	8718	123384
132	8767	123079
133	8806	122637
134	8953	123692
135	8996	123305
136	9034	122861
137	9160	123594
138	9214	123365
139	9345	124156
140	9408	124040
141	9449	123646
142	9479	123096
143	9505	122521
144	9646	123409
145	9683	122964
146	9716	122481
147	9747	121976
148	9777	121463
